,Gender,family_history_with_overweight,FAVC,CAEC,SMOKE,SCC,CALC,MTRANS,Age,Height,Weight,FCVC,NCP,CH2O,FAF,TUE,BMI
0,0,1,0,2,0,0,3,3,0.14893617021276595,0.3207547169811322,0.18656716417910446,0.5,0.6666666666666667,0.5,0.0,0.5,24.38652644413961
1,0,1,0,2,1,1,2,3,0.14893617021276595,0.1320754716981134,0.12686567164179102,1.0,0.6666666666666667,1.0,1.0,0.0,24.238227146814403
2,1,1,0,2,0,0,1,3,0.19148936170212766,0.6603773584905661,0.2835820895522388,0.5,0.6666666666666667,0.5,0.6666666666666666,0.5,23.76543209876543
3,1,0,0,2,0,0,1,4,0.276595744680851,0.6603773584905661,0.3582089552238806,1.0,0.6666666666666667,0.5,0.6666666666666666,0.0,26.85185185185185
4,1,0,0,2,0,0,2,3,0.17021276595744683,0.6226415094339623,0.37910447761194027,0.5,0.0,0.5,0.0,0.0,28.34238101249842
5,1,0,1,2,0,0,2,0,0.3191489361702128,0.3207547169811322,0.10447761194029848,0.5,0.6666666666666667,0.5,0.0,0.0,20.195092211553114
6,0,1,1,2,0,0,2,2,0.19148936170212766,0.09433962264150964,0.11940298507462688,1.0,0.6666666666666667,0.5,0.3333333333333333,0.0,24.444444444444443
7,1,0,0,2,0,0,2,3,0.17021276595744683,0.35849056603773555,0.10447761194029848,0.5,0.6666666666666667,0.5,1.0,0.0,19.705532421177875
8,1,1,1,2,0,0,1,3,0.21276595744680848,0.6226415094339623,0.18656716417910446,1.0,0.6666666666666667,0.5,0.3333333333333333,0.5,20.199469763918696
9,1,1,1,2,0,0,3,3,0.17021276595744683,0.509433962264151,0.2164179104477612,0.5,0.6666666666666667,0.5,0.3333333333333333,0.5,22.985397512168742
10,1,1,1,1,0,0,2,3,0.25531914893617025,0.7547169811320757,0.49253731343283574,1.0,0.6666666666666667,1.0,0.6666666666666666,1.0,30.67932797662527
11,0,1,1,1,0,1,2,3,0.14893617021276595,0.509433962264151,0.3059701492537313,0.5,0.6666666666666667,0.5,0.6666666666666666,0.5,27.041644131963228
12,1,0,0,2,0,0,2,3,0.17021276595744683,0.37735849056603765,0.12686567164179102,1.0,0.6666666666666667,1.0,0.6666666666666666,0.0,20.569329660238754
13,1,0,1,2,0,0,1,0,0.5744680851063829,0.6603773584905661,0.44776119402985076,0.5,0.6666666666666667,0.5,0.6666666666666666,0.5,30.555555555555554
14,1,1,1,2,0,0,2,3,0.19148936170212766,0.6037735849056602,0.15671641791044777,1.0,0.0,0.0,0.3333333333333333,0.5,19.15158479364167
15,0,1,0,0,0,1,2,3,0.17021276595744683,0.4716981132075473,0.2014925373134328,1.0,0.6666666666666667,0.5,0.6666666666666666,0.5,22.837370242214536
16,1,1,1,2,0,0,2,3,0.276595744680851,0.9056603773584904,0.47014925373134325,0.5,0.0,0.0,0.3333333333333333,0.0,27.383285457327716
17,0,0,1,2,0,0,3,0,0.3191489361702128,0.15094339622641506,0.291044776119403,0.5,0.0,0.5,0.0,0.0,33.320517749583495
18,0,1,1,1,1,0,3,0,0.34042553191489366,0.49056603773584895,0.3208955223880597,1.0,1.0,0.0,0.0,0.0,28.042816593139772
19,0,1,0,2,0,0,2,3,0.19148936170212766,0.37735849056603765,0.2313432835820895,0.5,0.0,0.5,0.0,0.0,25.71166207529844
20,1,1,0,2,0,0,3,4,0.17021276595744683,0.37735849056603765,0.3059701492537313,0.5,0.6666666666666667,0.5,1.0,1.0,29.384756657483933
21,0,1,1,2,1,0,3,0,0.8085106382978724,0.4528301886792452,0.3582089552238806,1.0,0.0,0.5,0.0,0.0,30.461118308182492
22,0,1,1,2,0,0,2,0,0.17021276595744683,0.37735849056603765,0.15671641791044777,1.0,0.6666666666666667,0.5,0.3333333333333333,0.0,22.03856749311295
23,0,1,1,2,0,0,2,3,0.17021276595744683,0.28301886792452846,0.3208955223880597,0.0,0.0,0.5,0.0,1.0,32.03124999999999
24,1,1,1,2,0,0,2,3,0.14893617021276595,0.7547169811320757,0.2164179104477612,0.5,0.6666666666666667,0.5,0.0,0.5,19.86851716581446
25,1,1,0,1,1,0,3,3,0.12765957446808512,0.28301886792452846,0.08208955223880593,0.5,1.0,0.5,1.0,1.0,19.531249999999996
26,1,1,1,1,0,0,0,4,0.14893617021276595,0.4716981132075473,0.19402985074626866,0.5,0.0,0.5,0.3333333333333333,1.0,22.49134948096886
27,0,0,1,1,0,0,2,0,0.19148936170212766,0.28301886792452846,0.09701492537313433,0.5,1.0,0.5,0.6666666666666666,0.5,20.312499999999996
28,1,1,1,2,0,1,2,3,0.10638297872340424,0.5660377358490565,0.2761194029850746,1.0,0.6666666666666667,0.5,1.0,0.5,24.816326530612244
